ID,Scenario,F1 (\%),Precision (\%),Recall (\%),TP,FP,FN
S1,"Full-info GNN (R0, BN)",45.46 ± 7.48,42.92 ± 11.42,51.19 ± 2.16,783.2 ± 33.0,1278.2 ± 859.5,746.8 ± 33.0
S2,"Full-info GNN (R1, LN)",58.71 ± 3.10,60.31 ± 7.73,57.91 ± 2.40,886.0 ± 36.7,613.8 ± 217.2,644.0 ± 36.7
S3,Individual GNN (batching),6.42 ± 0.98,3.64 ± 0.64,27.92 ± 1.37,427.2 ± 20.9,11677.5 ± 2108.6,1102.8 ± 20.9
B1,XGBoost full-info (R0),29.72 ± 2.49,20.36 ± 2.22,55.42 ± 2.16,848.0 ± 33.1,3355.0 ± 380.6,682.0 ± 33.1
B2,XGBoost full-info (R1),43.27 ± 3.53,34.19 ± 5.03,60.21 ± 2.39,921.2 ± 36.6,1849.0 ± 487.2,608.8 ± 36.6
B3,XGBoost individual (std FE),6.66 ± 0.43,59.41 ± 2.94,3.53 ± 0.24,54.0 ± 3.7,37.0 ± 4.3,1476.0 ± 3.7
F1,FedAvg (GNN),16.00 ± 9.50,49.34 ± 18.01,11.63 ± 7.69,178.0 ± 117.6,364.5 ± 488.7,1352.0 ± 117.6
P2,FedProx (mu=0.1),36.07 ± 1.35,31.09 ± 1.42,43.01 ± 1.93,658.0 ± 29.5,1461.5 ± 99.5,872.0 ± 29.5
V1,FedGraphSimple (SplitFed),66.72 ± 0.59,76.31 ± 2.12,59.31 ± 0.95,907.5 ± 14.5,283.0 ± 36.2,622.5 ± 14.5
B4,SecureBoost,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.0 ± 0.0,0.0 ± 0.0,1530.0 ± 0.0
