ID,Scenario,ΔF1 (pp),ΔPrec (pp),ΔRec (pp),ΔTP,ΔFP,ΔFN
S1,"Full-info GNN (R0, BN)",-13.24,-17.38,-6.72,-102.75,664.5,102.75
S2,"Full-info GNN (R1, LN)",0.0,0.0,0.0,0.0,0.0,0.0
B1,XGBoost full-info (R0),-28.98,-39.95,-2.48,-38.0,2741.25,38.0
B2,XGBoost full-info (R1),-15.44,-26.11,2.3,35.25,1235.25,-35.25
S3,Individual GNN (batching),-52.29,-56.67,-29.98,-458.75,11063.75,458.75
B3,XGBoost individual (std FE),-52.05,-0.89,-54.38,-832.0,-576.75,832.0
F1,FedAvg (GNN),-42.71,-10.96,-46.27,-708.0,-249.25,708.0
P2,FedProx (mu=0.1),-22.64,-29.21,-14.9,-228.0,847.75,228.0
V1,FedGraphSimple (SplitFed),8.01,16.01,1.41,21.5,-330.75,-21.5
B4,SecureBoost,-58.71,-60.31,-57.91,-886.0,-613.75,886.0
