Size bucket,ID,Scenario,Stack,Random,Bipartite,Overall
size=1,S2,"Full-info GNN (R1, LN)",0.25,1.0,0.9,0.883
size=1,F1,FedAvg (GNN),0.0,0.0,0.0,0.0
size=1,P2,FedProx (mu=0.1),0.0,0.0,0.025,0.017
size=1,V1,FedGraphSimple (SplitFed),0.0,1.0,0.9,0.867
size>=2,S2,"Full-info GNN (R1, LN)",1.0,1.0,1.0,1.0
size>=2,F1,FedAvg (GNN),0.1,0.406,0.35,0.306
size>=2,P2,FedProx (mu=0.1),0.4,0.875,1.0,0.778
size>=2,V1,FedGraphSimple (SplitFed),0.9,0.969,1.0,0.958
Overall,S2,"Full-info GNN (R1, LN)",0.875,1.0,0.933,0.947
Overall,F1,FedAvg (GNN),0.083,0.271,0.117,0.167
Overall,P2,FedProx (mu=0.1),0.333,0.583,0.35,0.432
Overall,V1,FedGraphSimple (SplitFed),0.75,0.979,0.933,0.917
