Vis bucket,ID,Scenario,Fan-Out,Fan-In,Cycle,Gather-Scatter,Scatter-Gather,Stack,Random,Bipartite,Overall
vis=100,S2,"Full-info (R1, LN)",0.643,0.421,0.667,0.655,0.7,0.682,0.85,0.9,0.652
vis=100,F1,FedAvg (GNN),0.155,0.026,0.083,0.041,0.0,0.023,0.0,0.0,0.051
vis=100,P2,FedProx (mu=0.1),0.393,0.092,0.139,0.236,0.0,0.159,0.05,0.025,0.182
vis=100,V1,FedGraphSimple (vertical),0.714,0.303,0.583,0.73,0.575,0.591,1.0,0.9,0.65
vis>=50,S2,"Full-info (R1, LN)",,,0.536,,0.229,0.667,0.875,0.75,0.482
vis>=50,F1,FedAvg (GNN),,,0.0,,0.0,0.25,0.0,0.0,0.027
vis>=50,P2,FedProx (mu=0.1),,,0.214,,0.0,0.5,0.125,0.125,0.134
vis>=50,V1,FedGraphSimple (vertical),,,0.464,,0.271,0.667,0.688,1.0,0.473
vis<50,S2,"Full-info (R1, LN)",,,0.167,,,0.227,0.156,0.125,0.174
vis<50,F1,FedAvg (GNN),,,0.0,,,0.023,0.0,0.0,0.008
vis<50,P2,FedProx (mu=0.1),,,0.0,,,0.0,0.125,0.0,0.03
vis<50,V1,FedGraphSimple (vertical),,,0.208,,,0.159,0.281,0.062,0.174
Overall,S2,"Full-info (R1, LN)",0.643,0.421,0.489,0.655,0.443,0.48,0.529,0.575,0.54
Overall,F1,FedAvg (GNN),0.155,0.026,0.034,0.041,0.0,0.05,0.0,0.0,0.04
Overall,P2,FedProx (mu=0.1),0.393,0.092,0.125,0.236,0.0,0.13,0.103,0.025,0.148
Overall,V1,FedGraphSimple (vertical),0.714,0.303,0.443,0.73,0.409,0.41,0.588,0.575,0.537
