Vis bucket,ID,Scenario,Fan-Out,Fan-In,Cycle,Gather-Scatter,Scatter-Gather,Stack,Random,Bipartite,Overall
vis=100,S2,"Full-info GNN (R1, LN)",0.912,0.938,0.917,1.0,0.917,0.958,1.0,0.9,0.954
vis=100,F1,FedAvg (GNN),0.426,0.359,0.083,0.436,0.0,0.0,0.0,0.0,0.294
vis=100,P2,FedProx (mu=0.1),0.75,0.766,0.167,0.85,0.167,0.208,0.0,0.025,0.595
vis=100,V1,FedGraphSimple (SplitFed),0.985,0.984,0.75,0.993,1.0,0.917,1.0,0.9,0.969
vis>=50,S2,"Full-info GNN (R1, LN)",,,0.806,,0.969,0.5,1.0,1.0,0.888
vis>=50,F1,FedAvg (GNN),,,0.389,,0.688,0.0,0.75,0.75,0.552
vis>=50,P2,FedProx (mu=0.1),,,0.639,,0.969,0.0,1.0,0.75,0.793
vis>=50,V1,FedGraphSimple (SplitFed),,,0.694,,1.0,0.25,1.0,1.0,0.853
vis<50,S2,"Full-info GNN (R1, LN)",0.688,1.0,0.975,1.0,,0.897,1.0,0.972,0.939
vis<50,F1,FedAvg (GNN),0.25,0.25,0.4,0.375,,0.574,0.354,0.5,0.439
vis<50,P2,FedProx (mu=0.1),0.812,1.0,0.925,1.0,,0.897,0.812,1.0,0.904
vis<50,V1,FedGraphSimple (SplitFed),0.125,1.0,1.0,1.0,,0.882,0.979,1.0,0.899
Overall,S2,"Full-info GNN (R1, LN)",0.869,0.947,0.898,1.0,0.955,0.88,1.0,0.938,0.939
Overall,F1,FedAvg (GNN),0.393,0.342,0.352,0.432,0.5,0.39,0.294,0.262,0.38
Overall,P2,FedProx (mu=0.1),0.762,0.803,0.705,0.858,0.75,0.66,0.632,0.5,0.723
Overall,V1,FedGraphSimple (SplitFed),0.821,0.987,0.841,0.993,1.0,0.84,0.985,0.95,0.929
