Vis bucket,ID,Scenario,Fan-Out,Fan-In,Cycle,Gather-Scatter,Scatter-Gather,Stack,Random,Bipartite,Overall
vis=100,S2,"Full-info (R1, LN)",0.94,0.961,0.75,0.993,0.95,0.795,1.0,0.975,0.939
vis=100,F1,FedAvg (GNN),0.44,0.382,0.194,0.595,0.275,0.091,0.05,0.0,0.363
vis=100,P2,FedProx (mu=0.1),0.774,0.737,0.222,0.804,0.3,0.159,0.05,0.0,0.549
vis>=50,S2,"Full-info (R1, LN)",,,1.0,,1.0,1.0,1.0,1.0,1.0
vis>=50,F1,FedAvg (GNN),,,0.583,,0.854,0.75,0.417,0.75,0.721
vis>=50,P2,FedProx (mu=0.1),,,0.958,,0.958,0.917,0.833,1.0,0.942
vis<50,S2,"Full-info (R1, LN)",,,1.0,,,1.0,0.972,1.0,0.993
vis<50,F1,FedAvg (GNN),,,0.536,,,0.841,0.417,0.625,0.621
vis<50,P2,FedProx (mu=0.1),,,0.929,,,1.0,0.889,1.0,0.957
Overall,S2,"Full-info (R1, LN)",0.94,0.961,0.898,0.993,0.977,0.91,0.985,0.988,0.958
Overall,F1,FedAvg (GNN),0.44,0.382,0.409,0.595,0.591,0.5,0.309,0.325,0.463
Overall,P2,FedProx (mu=0.1),0.774,0.737,0.648,0.804,0.659,0.62,0.632,0.5,0.683
