Threshold,Vis bucket,ID,Scenario,Fan-Out,Fan-In,Cycle,Gather-Scatter,Scatter-Gather,Stack,Random,Bipartite,Overall
>=1,vis=100,S2,"Full-info GNN (R1, LN)",0.912,0.938,0.778,1.0,0.9,0.727,1.0,0.9,0.916
>=1,vis=100,F1,FedAvg (GNN),0.426,0.359,0.194,0.436,0.25,0.023,0.05,0.0,0.292
>=1,vis=100,P2,FedProx (mu=0.1),0.75,0.766,0.306,0.85,0.45,0.227,0.1,0.025,0.577
>=1,vis=100,V1,FedGraphSimple (SplitFed),0.985,0.984,0.611,0.993,1.0,0.636,1.0,0.9,0.918
>=1,vis>=50,S2,"Full-info GNN (R1, LN)",0.75,,0.964,,1.0,1.0,1.0,1.0,0.982
>=1,vis>=50,F1,FedAvg (GNN),0.25,,0.5,,0.727,0.667,0.438,0.75,0.607
>=1,vis>=50,P2,FedProx (mu=0.1),0.75,,1.0,,1.0,1.0,0.812,0.875,0.955
>=1,vis>=50,V1,FedGraphSimple (SplitFed),0.25,,1.0,,1.0,1.0,1.0,1.0,0.973
>=1,vis<50,S2,"Full-info GNN (R1, LN)",0.667,1.0,1.0,1.0,1.0,1.0,1.0,0.969,0.97
>=1,vis<50,F1,FedAvg (GNN),0.25,0.25,0.417,0.375,0.5,0.682,0.375,0.469,0.464
>=1,vis<50,P2,FedProx (mu=0.1),0.833,1.0,0.958,1.0,1.0,1.0,0.875,1.0,0.958
>=1,vis<50,V1,FedGraphSimple (SplitFed),0.083,1.0,1.0,1.0,1.0,1.0,0.969,1.0,0.929
>=1,Overall,S2,"Full-info GNN (R1, LN)",0.869,0.947,0.898,1.0,0.955,0.88,1.0,0.938,0.939
>=1,Overall,F1,FedAvg (GNN),0.393,0.342,0.352,0.432,0.5,0.39,0.294,0.262,0.38
>=1,Overall,P2,FedProx (mu=0.1),0.762,0.803,0.705,0.858,0.75,0.66,0.632,0.5,0.723
>=1,Overall,V1,FedGraphSimple (SplitFed),0.821,0.987,0.841,0.993,1.0,0.84,0.985,0.95,0.929
>=50%,vis=100,S2,"Full-info GNN (R1, LN)",0.912,0.641,0.778,0.943,0.825,0.727,1.0,0.9,0.85
>=50%,vis=100,F1,FedAvg (GNN),0.235,0.078,0.194,0.121,0.1,0.023,0.05,0.0,0.113
>=50%,vis=100,P2,FedProx (mu=0.1),0.706,0.281,0.306,0.629,0.3,0.227,0.1,0.025,0.42
>=50%,vis=100,V1,FedGraphSimple (SplitFed),0.971,0.719,0.611,0.964,1.0,0.636,1.0,0.9,0.869
>=50%,vis>=50,S2,"Full-info GNN (R1, LN)",0.75,,0.75,,0.773,1.0,0.938,1.0,0.83
>=50%,vis>=50,F1,FedAvg (GNN),0.25,,0.071,,0.205,0.333,0.062,0.75,0.205
>=50%,vis>=50,P2,FedProx (mu=0.1),0.75,,0.679,,0.705,0.917,0.438,0.875,0.696
>=50%,vis>=50,V1,FedGraphSimple (SplitFed),0.25,,0.821,,0.818,1.0,0.938,1.0,0.848
>=50%,vis<50,S2,"Full-info GNN (R1, LN)",0.25,0.833,0.875,0.875,1.0,0.932,0.875,0.5,0.774
>=50%,vis<50,F1,FedAvg (GNN),0.0,0.167,0.0,0.0,0.0,0.159,0.062,0.125,0.089
>=50%,vis<50,P2,FedProx (mu=0.1),0.0,0.917,0.5,0.0,0.75,0.705,0.594,0.562,0.56
>=50%,vis<50,V1,FedGraphSimple (SplitFed),0.0,0.917,0.667,0.375,1.0,0.886,0.844,0.5,0.69
>=50%,Overall,S2,"Full-info GNN (R1, LN)",0.81,0.671,0.795,0.939,0.807,0.85,0.926,0.75,0.829
>=50%,Overall,F1,FedAvg (GNN),0.202,0.092,0.102,0.115,0.148,0.12,0.059,0.125,0.122
>=50%,Overall,P2,FedProx (mu=0.1),0.607,0.382,0.477,0.595,0.523,0.52,0.412,0.325,0.495
>=50%,Overall,V1,FedGraphSimple (SplitFed),0.798,0.75,0.693,0.932,0.909,0.79,0.912,0.75,0.825
100%,vis=100,S2,"Full-info GNN (R1, LN)",0.765,0.469,0.667,0.686,0.7,0.682,0.85,0.9,0.692
100%,vis=100,F1,FedAvg (GNN),0.191,0.031,0.083,0.043,0.0,0.023,0.0,0.0,0.055
100%,vis=100,P2,FedProx (mu=0.1),0.471,0.094,0.139,0.25,0.0,0.159,0.05,0.025,0.192
100%,vis=100,V1,FedGraphSimple (SplitFed),0.882,0.359,0.583,0.771,0.575,0.591,1.0,0.9,0.701
100%,vis>=50,S2,"Full-info GNN (R1, LN)",0.5,,0.536,,0.25,0.667,0.875,0.75,0.5
100%,vis>=50,F1,FedAvg (GNN),0.0,,0.0,,0.0,0.25,0.0,0.0,0.027
100%,vis>=50,P2,FedProx (mu=0.1),0.25,,0.214,,0.0,0.5,0.125,0.125,0.143
100%,vis>=50,V1,FedGraphSimple (SplitFed),0.0,,0.464,,0.25,0.667,0.688,1.0,0.455
100%,vis<50,S2,"Full-info GNN (R1, LN)",0.0,0.167,0.167,0.125,0.0,0.227,0.156,0.125,0.155
100%,vis<50,F1,FedAvg (GNN),0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.006
100%,vis<50,P2,FedProx (mu=0.1),0.0,0.083,0.0,0.0,0.0,0.0,0.125,0.0,0.03
100%,vis<50,V1,FedGraphSimple (SplitFed),0.0,0.0,0.208,0.0,0.5,0.159,0.281,0.062,0.149
100%,Overall,S2,"Full-info GNN (R1, LN)",0.643,0.421,0.489,0.655,0.443,0.48,0.529,0.575,0.54
100%,Overall,F1,FedAvg (GNN),0.155,0.026,0.034,0.041,0.0,0.05,0.0,0.0,0.04
100%,Overall,P2,FedProx (mu=0.1),0.393,0.092,0.125,0.236,0.0,0.13,0.103,0.025,0.148
100%,Overall,V1,FedGraphSimple (SplitFed),0.714,0.303,0.443,0.73,0.409,0.41,0.588,0.575,0.537
Individual,vis=100,S2,"Full-info GNN (R1, LN)",0.953,0.508,0.729,0.884,0.706,0.767,0.875,0.9,0.819
Individual,vis=100,F1,FedAvg (GNN),0.278,0.097,0.167,0.123,0.156,0.017,0.042,0.0,0.139
Individual,vis=100,P2,FedProx (mu=0.1),0.775,0.277,0.25,0.64,0.367,0.183,0.125,0.025,0.551
Individual,vis=100,V1,FedGraphSimple (SplitFed),0.944,0.575,0.625,0.929,0.806,0.667,1.0,0.9,0.857
Individual,vis>=50,S2,"Full-info GNN (R1, LN)",0.625,,0.7,,0.611,0.857,0.942,0.875,0.654
Individual,vis>=50,F1,FedAvg (GNN),0.125,,0.171,,0.182,0.393,0.154,0.375,0.188
Individual,vis>=50,P2,FedProx (mu=0.1),0.5,,0.557,,0.568,0.75,0.423,0.5,0.562
Individual,vis>=50,V1,FedGraphSimple (SplitFed),0.125,,0.721,,0.718,0.857,0.885,1.0,0.731
Individual,vis<50,S2,"Full-info GNN (R1, LN)",0.241,0.625,0.74,0.707,0.722,0.72,0.741,0.46,0.64
Individual,vis<50,F1,FedAvg (GNN),0.045,0.102,0.083,0.043,0.111,0.203,0.105,0.135,0.124
Individual,vis<50,P2,FedProx (mu=0.1),0.223,0.648,0.48,0.239,0.583,0.563,0.5,0.475,0.481
Individual,vis<50,V1,FedGraphSimple (SplitFed),0.018,0.659,0.681,0.413,0.917,0.67,0.741,0.47,0.587
Individual,Overall,S2,"Full-info GNN (R1, LN)",0.781,0.53,0.724,0.873,0.634,0.735,0.786,0.555,0.735
Individual,Overall,F1,FedAvg (GNN),0.221,0.098,0.125,0.118,0.174,0.19,0.109,0.129,0.145
Individual,Overall,P2,FedProx (mu=0.1),0.642,0.348,0.48,0.615,0.53,0.524,0.457,0.406,0.534
Individual,Overall,V1,FedGraphSimple (SplitFed),0.715,0.591,0.689,0.897,0.743,0.681,0.786,0.57,0.756
