Threshold,Vis bucket,ID,Scenario,Fan-Out,Fan-In,Cycle,Gather-Scatter,Scatter-Gather,Stack,Random,Bipartite,Overall
>=1,vis=100,S2,"Full-info GNN (R1, LN)",0.917,0.875,0.75,1.0,0.9,0.85,1.0,0.9,0.928
>=1,vis=100,F1,FedAvg (GNN),0.333,0.25,0.25,0.35,0.0,0.0,0.0,0.0,0.173
>=1,vis=100,P2,FedProx (mu=0.1),0.542,0.667,0.5,0.883,0.2,0.2,0.0,0.025,0.447
>=1,vis=100,V1,FedGraphSimple (SplitFed),0.958,0.958,0.25,0.983,1.0,0.7,1.0,0.9,0.923
>=1,vis>=50,S2,"Full-info GNN (R1, LN)",,,1.0,,1.0,,1.0,,1.0
>=1,vis>=50,F1,FedAvg (GNN),,,0.5,,0.55,,0.75,,0.55
>=1,vis>=50,P2,FedProx (mu=0.1),,,1.0,,1.0,,1.0,,1.0
>=1,vis>=50,V1,FedGraphSimple (SplitFed),,,1.0,,1.0,,1.0,,1.0
>=1,vis<50,S2,"Full-info GNN (R1, LN)",0.667,1.0,1.0,1.0,,1.0,1.0,1.0,0.958
>=1,vis<50,F1,FedAvg (GNN),0.25,0.25,0.375,0.25,,0.5,0.357,0.35,0.333
>=1,vis<50,P2,FedProx (mu=0.1),0.833,1.0,0.938,1.0,,1.0,0.857,1.0,0.927
>=1,vis<50,V1,FedGraphSimple (SplitFed),0.083,1.0,1.0,1.0,,1.0,0.964,1.0,0.875
>=1,Overall,S2,"Full-info GNN (R1, LN)",0.833,0.917,0.972,1.0,0.95,0.875,1.0,0.933,0.945
>=1,Overall,F1,FedAvg (GNN),0.306,0.25,0.417,0.344,0.275,0.083,0.271,0.117,0.262
>=1,Overall,P2,FedProx (mu=0.1),0.639,0.778,0.917,0.891,0.6,0.333,0.583,0.35,0.645
>=1,Overall,V1,FedGraphSimple (SplitFed),0.667,0.972,0.917,0.984,1.0,0.75,0.979,0.933,0.919
>=50%,vis=100,S2,"Full-info GNN (R1, LN)",0.917,0.458,0.75,0.867,0.9,0.85,1.0,0.9,0.841
>=50%,vis=100,F1,FedAvg (GNN),0.083,0.0,0.25,0.017,0.0,0.0,0.0,0.0,0.019
>=50%,vis=100,P2,FedProx (mu=0.1),0.542,0.083,0.5,0.533,0.2,0.2,0.0,0.025,0.279
>=50%,vis=100,V1,FedGraphSimple (SplitFed),0.917,0.667,0.25,0.917,1.0,0.7,1.0,0.9,0.865
>=50%,vis>=50,S2,"Full-info GNN (R1, LN)",,,0.812,,0.55,,1.0,,0.7
>=50%,vis>=50,F1,FedAvg (GNN),,,0.062,,0.05,,0.25,,0.075
>=50%,vis>=50,P2,FedProx (mu=0.1),,,0.75,,0.55,,0.75,,0.65
>=50%,vis>=50,V1,FedGraphSimple (SplitFed),,,0.875,,0.65,,1.0,,0.775
>=50%,vis<50,S2,"Full-info GNN (R1, LN)",0.25,0.833,0.812,0.75,,1.0,0.857,0.5,0.698
>=50%,vis<50,F1,FedAvg (GNN),0.0,0.167,0.0,0.0,,0.0,0.071,0.05,0.052
>=50%,vis<50,P2,FedProx (mu=0.1),0.0,0.917,0.562,0.0,,1.0,0.536,0.45,0.5
>=50%,vis<50,V1,FedGraphSimple (SplitFed),0.0,0.917,0.688,0.0,,0.75,0.821,0.4,0.583
>=50%,Overall,S2,"Full-info GNN (R1, LN)",0.694,0.583,0.806,0.859,0.725,0.875,0.917,0.767,0.785
>=50%,Overall,F1,FedAvg (GNN),0.056,0.056,0.056,0.016,0.025,0.0,0.062,0.017,0.035
>=50%,Overall,P2,FedProx (mu=0.1),0.361,0.361,0.639,0.5,0.375,0.333,0.375,0.167,0.384
>=50%,Overall,V1,FedGraphSimple (SplitFed),0.611,0.75,0.722,0.859,0.825,0.708,0.896,0.733,0.776
100%,vis=100,S2,"Full-info GNN (R1, LN)",0.667,0.292,0.0,0.4,0.9,0.75,1.0,0.9,0.635
100%,vis=100,F1,FedAvg (GNN),0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
100%,vis=100,P2,FedProx (mu=0.1),0.292,0.042,0.0,0.05,0.0,0.05,0.0,0.025,0.062
100%,vis=100,V1,FedGraphSimple (SplitFed),0.75,0.292,0.0,0.533,0.9,0.6,1.0,0.9,0.668
100%,vis>=50,S2,"Full-info GNN (R1, LN)",,,0.625,,0.1,,1.0,,0.4
100%,vis>=50,F1,FedAvg (GNN),,,0.0,,0.0,,0.0,,0.0
100%,vis>=50,P2,FedProx (mu=0.1),,,0.25,,0.0,,0.5,,0.15
