Vis bucket,ID,Scenario,Fan-Out,Fan-In,Cycle,Gather-Scatter,Scatter-Gather,Stack,Random,Bipartite,Overall
vis=100,S2,"Full-info (R1, LN)",0.81,0.671,0.778,0.939,0.825,0.727,1.0,0.9,0.834
vis=100,F1,FedAvg (GNN),0.202,0.092,0.194,0.115,0.1,0.023,0.05,0.0,0.111
vis=100,P2,FedProx (mu=0.1),0.607,0.382,0.306,0.595,0.3,0.227,0.1,0.025,0.418
vis=100,V1,FedGraphSimple (vertical),0.798,0.75,0.611,0.932,1.0,0.636,1.0,0.9,0.836
vis>=50,S2,"Full-info (R1, LN)",,,0.75,,0.792,1.0,0.938,1.0,0.839
vis>=50,F1,FedAvg (GNN),,,0.071,,0.188,0.333,0.062,0.75,0.196
vis>=50,P2,FedProx (mu=0.1),,,0.679,,0.708,0.917,0.438,0.875,0.696
vis>=50,V1,FedGraphSimple (vertical),,,0.821,,0.833,1.0,0.938,1.0,0.875
vis<50,S2,"Full-info (R1, LN)",,,0.875,,,0.932,0.875,0.5,0.803
vis<50,F1,FedAvg (GNN),,,0.0,,,0.159,0.062,0.125,0.098
vis<50,P2,FedProx (mu=0.1),,,0.5,,,0.705,0.594,0.562,0.606
vis<50,V1,FedGraphSimple (vertical),,,0.667,,,0.886,0.844,0.5,0.742
Overall,S2,"Full-info (R1, LN)",0.81,0.671,0.795,0.939,0.807,0.85,0.926,0.75,0.829
Overall,F1,FedAvg (GNN),0.202,0.092,0.102,0.115,0.148,0.12,0.059,0.125,0.122
Overall,P2,FedProx (mu=0.1),0.607,0.382,0.477,0.595,0.523,0.52,0.412,0.325,0.495
Overall,V1,FedGraphSimple (vertical),0.798,0.75,0.693,0.932,0.909,0.79,0.912,0.75,0.825
