Threshold,Vis bucket,ID,Scenario,Fan-Out,Fan-In,Cycle,Gather-Scatter,Scatter-Gather,Stack,Random,Bipartite,Overall
>=1,vis=100,S2,"Full-info GNN (R1, LN)",0.94,0.961,0.75,0.993,0.95,0.795,1.0,0.975,0.939
>=1,vis=100,F1,FedAvg (GNN),0.44,0.382,0.194,0.595,0.275,0.091,0.05,0.0,0.363
>=1,vis=100,P2,FedProx (mu=0.1),0.774,0.737,0.222,0.804,0.3,0.159,0.05,0.0,0.549
>=1,vis=100,V1,FedGraphSimple (SplitFed),0.988,0.961,0.833,0.986,1.0,0.705,1.0,1.0,0.949
>=1,vis>=50,S2,"Full-info GNN (R1, LN)",,,1.0,,1.0,1.0,1.0,1.0,1.0
>=1,vis>=50,F1,FedAvg (GNN),,,0.583,,0.854,0.75,0.417,0.75,0.721
>=1,vis>=50,P2,FedProx (mu=0.1),,,0.958,,0.958,0.917,0.833,1.0,0.942
>=1,vis>=50,V1,FedGraphSimple (SplitFed),,,0.958,,1.0,1.0,1.0,1.0,0.99
>=1,vis<50,S2,"Full-info GNN (R1, LN)",,,1.0,,,1.0,0.972,1.0,0.993
>=1,vis<50,F1,FedAvg (GNN),,,0.536,,,0.841,0.417,0.625,0.621
>=1,vis<50,P2,FedProx (mu=0.1),,,0.929,,,1.0,0.889,1.0,0.957
>=1,vis<50,V1,FedGraphSimple (SplitFed),,,1.0,,,1.0,0.972,1.0,0.993
>=1,Overall,S2,"Full-info GNN (R1, LN)",0.94,0.961,0.898,0.993,0.977,0.91,0.985,0.988,0.958
>=1,Overall,F1,FedAvg (GNN),0.44,0.382,0.409,0.595,0.591,0.5,0.309,0.325,0.463
>=1,Overall,P2,FedProx (mu=0.1),0.774,0.737,0.648,0.804,0.659,0.62,0.632,0.5,0.683
>=1,Overall,V1,FedGraphSimple (SplitFed),0.988,0.961,0.92,0.986,1.0,0.87,0.985,1.0,0.963
>=50%,vis=100,S2,"Full-info GNN (R1, LN)",0.929,0.908,0.75,0.98,0.95,0.795,1.0,0.975,0.924
>=50%,vis=100,F1,FedAvg (GNN),0.321,0.132,0.194,0.25,0.1,0.091,0.05,0.0,0.184
>=50%,vis=100,P2,FedProx (mu=0.1),0.667,0.276,0.222,0.561,0.15,0.159,0.05,0.0,0.373
