Vis bucket,ID,Scenario,Fan-Out,Fan-In,Cycle,Gather-Scatter,Scatter-Gather,Stack,Random,Bipartite,Overall
vis=100,S2,"Full-info (R1, LN)",0.781,0.53,0.729,0.873,0.706,0.767,0.875,0.9,0.785
vis=100,F1,FedAvg (GNN),0.221,0.098,0.167,0.118,0.156,0.017,0.042,0.0,0.131
vis=100,P2,FedProx (mu=0.1),0.642,0.348,0.25,0.615,0.367,0.183,0.125,0.025,0.531
vis=100,V1,FedGraphSimple (vertical),0.715,0.591,0.625,0.897,0.806,0.667,1.0,0.9,0.8
vis>=50,S2,"Full-info (R1, LN)",,,0.7,,0.616,0.857,0.942,0.875,0.656
vis>=50,F1,FedAvg (GNN),,,0.171,,0.179,0.393,0.154,0.375,0.185
vis>=50,P2,FedProx (mu=0.1),,,0.557,,0.569,0.75,0.423,0.5,0.564
vis>=50,V1,FedGraphSimple (vertical),,,0.721,,0.728,0.857,0.885,1.0,0.743
vis<50,S2,"Full-info (R1, LN)",,,0.74,,,0.72,0.741,0.46,0.677
vis<50,F1,FedAvg (GNN),,,0.083,,,0.203,0.105,0.135,0.143
vis<50,P2,FedProx (mu=0.1),,,0.48,,,0.563,0.5,0.475,0.514
vis<50,V1,FedGraphSimple (vertical),,,0.681,,,0.67,0.741,0.47,0.649
Overall,S2,"Full-info (R1, LN)",0.781,0.53,0.724,0.873,0.634,0.735,0.786,0.555,0.735
Overall,F1,FedAvg (GNN),0.221,0.098,0.125,0.118,0.174,0.19,0.109,0.129,0.145
Overall,P2,FedProx (mu=0.1),0.642,0.348,0.48,0.615,0.53,0.524,0.457,0.406,0.534
Overall,V1,FedGraphSimple (vertical),0.715,0.591,0.689,0.897,0.743,0.681,0.786,0.57,0.756
