Group,Metric,Overall,Fan-Out,Fan-In,Cycle,Gather-Scatter,Scatter-Gather,Stack,Random,Bipartite
System,Attempts,183.0,21.0,19.0,22.0,37.0,22.0,25.0,17.0,20.0
System,Txns,1240.0,131.0,123.0,99.0,381.0,239.0,117.0,84.0,66.0
System,Txn %,100.0,10.6,9.9,8.0,30.7,19.3,9.4,6.8,5.3
Comparable,Attempts,183.0,21.0,19.0,22.0,37.0,22.0,25.0,17.0,20.0
Comparable,Txns,1189.0,120.0,115.0,98.0,369.0,234.0,113.0,76.0,64.0
Comparable,Txn %,95.9,9.7,9.3,7.9,29.8,18.9,9.1,6.1,5.2
Filter impact,Partial (N),18.0,3.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0
Filter impact,Partial (%),9.8,14.3,10.5,4.5,2.7,4.5,16.0,23.5,10.0
Filter impact,Txns lost,51.0,11.0,8.0,1.0,12.0,5.0,4.0,8.0,2.0
Filter impact,Txns lost (%),4.1,8.4,6.5,1.0,3.1,2.1,3.4,9.5,3.0
