Scenario,Bin,Fan-Out,Fan-In,Cycle,Gather-Scatter,Scatter-Gather,Stack,Random,Bipartite
"Full-info GNN (R1, LN)",Q1,78.57,95.83,75.00,91.78,93.48,88.46,100.00,90.00
"Full-info GNN (R1, LN)",Q2,62.50,50.00,57.50,85.59,68.12,69.50,46.88,55.56
"Full-info GNN (R1, LN)",Q3,94.44,60.00,82.50,93.61,53.92,76.39,80.62,41.43
"Full-info GNN (R1, LN)",Q4,75.74,45.50,68.88,81.97,60.00,66.07,79.76,70.00
FedAvg (GNN),Q1,0.00,8.33,13.89,16.44,16.30,7.69,14.29,0.00
FedAvg (GNN),Q2,34.72,15.52,10.00,6.36,21.88,19.50,3.12,13.89
FedAvg (GNN),Q3,29.63,5.83,12.50,16.67,20.10,20.83,15.62,12.14
FedAvg (GNN),Q4,18.01,9.00,12.76,8.67,15.00,23.21,3.57,27.50
FedProx (mu=0.1),Q1,17.86,41.67,47.22,61.99,21.74,19.23,32.14,2.50
FedProx (mu=0.1),Q2,59.72,46.55,30.00,63.56,66.88,61.00,9.38,72.22
FedProx (mu=0.1),Q3,83.33,30.83,47.50,73.89,50.00,56.94,66.88,38.57
FedProx (mu=0.1),Q4,62.50,29.50,52.04,52.89,55.62,41.07,23.81,57.50
FedGraphSimple (SplitFed),Q1,96.43,95.83,55.56,92.81,93.48,80.77,100.00,90.00
FedGraphSimple (SplitFed),Q2,51.39,56.90,57.50,86.86,78.12,63.00,37.50,58.33
FedGraphSimple (SplitFed),Q3,89.81,68.33,80.00,98.61,58.82,72.22,88.12,40.71
FedGraphSimple (SplitFed),Q4,66.91,50.50,66.84,83.84,75.83,64.29,69.05,80.00
