Scenario,Bin,Fan-Out,Fan-In,Cycle,Gather-Scatter,Scatter-Gather,Stack,Random,Bipartite
"Full-info GNN (R1, LN)",Q1,82.14,95.83,72.22,96.58,94.57,100.00,100.00,97.50
"Full-info GNN (R1, LN)",Q2,100.00,79.31,65.00,91.10,93.75,76.44,56.25,77.50
"Full-info GNN (R1, LN)",Q3,93.52,98.57,85.48,94.17,80.88,77.70,94.77,65.00
"Full-info GNN (R1, LN)",Q4,93.59,73.11,82.65,97.17,100.00,82.14,89.42,79.55
FedAvg (GNN),Q1,3.57,8.33,13.89,26.71,15.22,3.57,14.29,0.00
FedAvg (GNN),Q2,56.58,12.93,15.00,16.95,26.25,31.73,3.12,17.50
FedAvg (GNN),Q3,36.11,8.57,16.94,28.89,23.53,30.41,23.26,23.57
FedAvg (GNN),Q4,32.37,13.68,23.47,19.97,35.80,26.79,1.92,29.55
FedProx (mu=0.1),Q1,14.29,25.00,44.44,54.79,13.04,12.50,35.71,0.00
FedProx (mu=0.1),Q2,85.53,41.38,37.50,60.59,63.75,61.06,9.38,72.50
FedProx (mu=0.1),Q3,81.48,29.29,37.10,67.78,45.10,52.70,68.02,45.71
FedProx (mu=0.1),Q4,61.54,27.36,53.57,51.42,61.40,50.00,20.19,50.00
