ID,Scenario,Pattern,P,recall_mean,recall_std
S1,"Individual (R0, BN)",1,131.0,0.28053435114503816,0.04721113311775947
S1,"Individual (R0, BN)",2,123.0,0.15040650406504064,0.010495889827120367
S1,"Individual (R0, BN)",3,99.0,0.39141414141414144,0.045454545454545456
S1,"Individual (R0, BN)",4,381.0,0.3083989501312336,0.025401979249270307
S1,"Individual (R0, BN)",5,239.0,0.27824267782426776,0.038726480828214276
S1,"Individual (R0, BN)",6,117.0,0.28846153846153844,0.02552204112132325
S1,"Individual (R0, BN)",7,84.0,0.2648809523809524,0.020331251519761104
S1,"Individual (R0, BN)",8,66.0,0.35984848484848486,0.048508516950248826
S1,"Individual (R0, BN)",9,371.0,0.06401617250673855,0.008629547489801685
S2,"FedAvg (R1, LN)",1,131.0,0.20229007633587787,0.17017936495883934
S2,"FedAvg (R1, LN)",2,123.0,0.052845528455284556,0.037843468953303365
S2,"FedAvg (R1, LN)",3,99.0,0.13636363636363635,0.12575656159584578
S2,"FedAvg (R1, LN)",4,381.0,0.10301837270341208,0.07970753091370192
S2,"FedAvg (R1, LN)",5,239.0,0.18514644351464435,0.140458491560745
S2,"FedAvg (R1, LN)",6,117.0,0.16452991452991453,0.11768313135226714
S2,"FedAvg (R1, LN)",7,84.0,0.05654761904761904,0.04896413761608359
S2,"FedAvg (R1, LN)",8,66.0,0.11742424242424242,0.07762841489363331
S2,"FedAvg (R1, LN)",9,371.0,0.00876010781671159,0.009687268038116722
