ID,Scenario,F1 (\%),Precision (\%),Recall (\%),TP,FP,FN
F0,FedAvg (FedSGD-like),0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.0 ± 0.0,31.0 ± 53.7,1530.0 ± 0.0
F1,FedAvg (GNN),16.00 ± 9.50,49.34 ± 18.01,11.63 ± 7.69,178.0 ± 117.6,364.5 ± 488.7,1352.0 ± 117.6
F2,FedAvg (B=4096),20.00 ± 5.79,43.43 ± 14.82,15.34 ± 7.79,234.8 ± 119.1,449.5 ± 379.0,1295.2 ± 119.1
F3,FedAvg (full batch),12.42 ± 1.02,32.78 ± 16.71,8.69 ± 2.43,133.0 ± 37.2,458.2 ± 416.5,1397.0 ± 37.2
F4,FedAvg (E=1),0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.0 ± 0.0,0.0 ± 0.0,1530.0 ± 0.0
F5,FedAvg (E=10),24.56 ± 4.84,58.75 ± 11.46,15.60 ± 3.24,238.8 ± 49.6,172.2 ± 62.1,1291.2 ± 49.6
F6,FedAvg (E=25),26.39 ± 4.51,66.83 ± 5.63,16.60 ± 3.40,254.0 ± 52.0,129.0 ± 38.7,1276.0 ± 52.0
F7,FedAvg (C=0.25),23.24 ± 6.67,65.18 ± 9.90,15.02 ± 6.11,229.8 ± 93.4,156.0 ± 140.3,1300.2 ± 93.4
F8,FedAvg (C=0.50),31.90 ± 4.84,65.80 ± 7.24,21.39 ± 4.21,327.2 ± 64.4,179.5 ± 65.3,1202.8 ± 64.4
F9,FedAvg (uniform),11.30 ± 7.04,31.91 ± 16.31,8.99 ± 8.02,137.5 ± 122.7,420.2 ± 462.5,1392.5 ± 122.7
F10,FedAvg (T=50),20.81 ± 2.78,37.42 ± 17.84,17.30 ± 6.93,264.8 ± 106.0,671.5 ± 529.0,1265.2 ± 106.0
