ID,Scenario,F1 (\%),Precision (\%),Recall (\%),TP,FP,FN
F0,FedAvg (FedSGD-like),0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.0 ± 0.0,52.2 ± 90.5,1611.0 ± 0.0
F1,FedAvg (GNN),24.30 ± 4.83,47.34 ± 16.06,18.82 ± 7.63,303.2 ± 122.9,518.2 ± 536.1,1307.8 ± 122.9
F2,FedAvg (B=4096),19.57 ± 3.36,27.66 ± 8.81,16.29 ± 4.83,262.5 ± 77.8,784.8 ± 429.0,1348.5 ± 77.8
F3,FedAvg (full batch),8.28 ± 9.22,24.05 ± 7.10,8.46 ± 11.69,136.2 ± 188.3,530.8 ± 724.9,1474.8 ± 188.3
F4,FedAvg (E=1),0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.0 ± 0.0,0.0 ± 0.0,1611.0 ± 0.0
F5,FedAvg (E=10),12.44 ± 4.46,72.15 ± 6.70,6.92 ± 2.61,111.5 ± 42.1,47.2 ± 26.5,1499.5 ± 42.1
F6,FedAvg (E=25),26.08 ± 10.22,49.32 ± 15.70,18.02 ± 7.48,290.2 ± 120.4,293.5 ± 137.3,1320.8 ± 120.4
F7,FedAvg (C=0.25),13.15 ± 3.64,78.20 ± 3.43,7.23 ± 2.13,116.5 ± 34.3,32.5 ± 11.5,1494.5 ± 34.3
F8,FedAvg (C=0.50),21.25 ± 3.43,70.29 ± 0.96,12.59 ± 2.43,202.8 ± 39.2,85.8 ± 17.4,1408.2 ± 39.2
F9,FedAvg (uniform),1.92 ± 2.42,28.88 ± 20.32,1.04 ± 1.34,16.8 ± 21.6,39.8 ± 40.6,1594.2 ± 21.6
F10,FedAvg (T=50),19.51 ± 5.26,28.00 ± 11.59,16.17 ± 5.08,260.5 ± 81.9,804.8 ± 417.7,1350.5 ± 81.9
