batch_idx,n_batch_edges,n_batch_nodes,n_seed_edges,n_seed_used,seed_laundering_rate,n_active_parties
0,21778,19053,8192,6896,0.0006103515625,616
1,21744,19177,8192,6952,0.00048828125,621
2,21755,19111,8192,6866,0.001220703125,618
3,21593,19035,8192,6864,0.000732421875,617
4,21860,19076,8192,6883,0.0009765625,621
5,21855,19022,8192,6907,0.0006103515625,626
6,21724,19132,8192,6914,0.00048828125,618
7,21812,19074,8192,6901,0.001220703125,620
8,21581,19113,8192,6942,0.0008544921875,617
9,21556,19042,8192,6874,0.0008544921875,622
10,21908,19192,8192,6962,0.00048828125,623
11,21859,19168,8192,6911,0.0003662109375,614
12,21992,19140,8192,6899,0.0003662109375,620
13,21837,19114,8192,6928,0.00048828125,618
14,21569,18984,8192,6910,0.0006103515625,625
15,21631,19033,8192,6926,0.000732421875,617
16,21259,18912,8192,6936,0.001220703125,622
17,21750,19150,8192,6908,0.0008544921875,621
18,21737,19199,8192,6843,0.0006103515625,619
19,21800,19043,8192,6913,0.0003662109375,622
20,21604,18989,8192,6934,0.00146484375,623
21,21787,19224,8192,6932,0.0008544921875,617
22,21869,19170,8192,6926,0.001220703125,620
23,21692,19039,8192,6865,0.0006103515625,621
24,9852,8792,3528,2956,0.0011337868480725624,594
